Match Number,Round Number,Date,Location,Home Team,Away Team,Result
130,2,06/04/2024 20:38,Angel Stadium,Los Angeles Angels,Boston Red Sox,2 - 1
131,2,07/04/2024 12:35,PNC Park,Pittsburgh Pirates,Baltimore Orioles,3 - 2
132,2,07/04/2024 12:35,Nationals Park,Washington Nationals,Philadelphia Phillies,3 - 2
133,2,07/04/2024 12:35,Truist Park,Atlanta Braves,Arizona Diamondbacks,5 - 2
134,2,07/04/2024 12:35,Yankee Stadium,New York Yankees,Toronto Blue Jays,8 - 3
135,2,07/04/2024 12:40,Great American Ball Park,Cincinnati Reds,New York Mets,1 - 3
136,2,07/04/2024 12:40,Comerica Park,Detroit Tigers,Oakland Athletics,1 - 7
138,2,07/04/2024 13:10,Kauffman Stadium,Kansas City Royals,Chicago White Sox,5 - 3
139,2,07/04/2024 13:10,American Family Field,Milwaukee Brewers,Seattle Mariners,12 - 4
140,2,07/04/2024 13:15,Busch Stadium,St. Louis Cardinals,Miami Marlins,3 - 10
141,2,07/04/2024 13:20,Wrigley Field,Chicago Cubs,Los Angeles Dodgers,8 - 1
142,2,07/04/2024 14:10,Coors Field,Colorado Rockies,Tampa Bay Rays,2 - 3
143,2,07/04/2024 15:05,Oracle Park,San Francisco Giants,San Diego Padres,3 - 2
144,2,07/04/2024 15:07,Angel Stadium,Los Angeles Angels,Boston Red Sox,2 - 12
145,2,07/04/2024 18:10,Globe Life Field,Texas Rangers,Houston Astros,1 - 3
158,2,08/04/2024 16:10,Progressive Field,Cleveland Guardians,Chicago White Sox,4 - 0
146,2,08/04/2024 17:05,Yankee Stadium,New York Yankees,Miami Marlins,7 - 0
147,2,08/04/2024 17:40,PNC Park,Pittsburgh Pirates,Detroit Tigers,7 - 4
148,2,08/04/2024 17:40,Great American Ball Park,Cincinnati Reds,Milwaukee Brewers,10 - 8
149,2,08/04/2024 18:07,Rogers Centre,Toronto Blue Jays,Seattle Mariners,5 - 2
150,2,08/04/2024 18:20,Truist Park,Atlanta Braves,New York Mets,7 - 8
151,2,08/04/2024 18:40,Target Field,Minnesota Twins,Los Angeles Dodgers,2 - 4
152,2,08/04/2024 18:45,Busch Stadium,St. Louis Cardinals,Philadelphia Phillies,3 - 5
153,2,08/04/2024 19:05,Globe Life Field,Texas Rangers,Houston Astros,5 - 10
154,2,08/04/2024 19:40,Coors Field,Colorado Rockies,Arizona Diamondbacks,7 - 5
155,2,08/04/2024 20:38,Angel Stadium,Los Angeles Angels,Tampa Bay Rays,7 - 1
156,2,08/04/2024 20:40,Petco Park,San Diego Padres,Chicago Cubs,9 - 8
157,2,08/04/2024 20:45,Oracle Park,San Francisco Giants,Washington Nationals,1 - 8
159,2,09/04/2024 11:35,PNC Park,Pittsburgh Pirates,Detroit Tigers,3 - 5
160,2,09/04/2024 13:10,Fenway Park,Boston Red Sox,Baltimore Orioles,1 - 7
161,2,09/04/2024 17:10,Progressive Field,Cleveland Guardians,Chicago White Sox,5 - 7
162,2,09/04/2024 17:40,Great American Ball Park,Cincinnati Reds,Milwaukee Brewers,5 - 9
163,2,09/04/2024 18:05,Yankee Stadium,New York Yankees,Miami Marlins,3 - 2
164,2,09/04/2024 18:07,Rogers Centre,Toronto Blue Jays,Seattle Mariners,5 - 3
165,2,09/04/2024 18:20,Truist Park,Atlanta Braves,New York Mets,6 - 5
166,2,09/04/2024 18:40,Kauffman Stadium,Kansas City Royals,Houston Astros,4 - 3
167,2,09/04/2024 18:40,Target Field,Minnesota Twins,Los Angeles Dodgers,3 - 6
168,2,09/04/2024 18:45,Busch Stadium,St. Louis Cardinals,Philadelphia Phillies,3 - 0
169,2,09/04/2024 19:05,Globe Life Field,Texas Rangers,Oakland Athletics,3 - 4
170,2,09/04/2024 19:40,Coors Field,Colorado Rockies,Arizona Diamondbacks,2 - 3
171,2,09/04/2024 20:38,Angel Stadium,Los Angeles Angels,Tampa Bay Rays,4 - 6
172,2,09/04/2024 20:45,Oracle Park,San Francisco Giants,Washington Nationals,3 - 5
173,2,09/04/2024 21:05,Petco Park,San Diego Padres,Chicago Cubs,1 - 5
174,3,10/04/2024 12:10,Target Field,Minnesota Twins,Los Angeles Dodgers,3 - 2
175,3,10/04/2024 12:15,Busch Stadium,St. Louis Cardinals,Philadelphia Phillies,3 - 4
176,3,10/04/2024 14:07,Rogers Centre,Toronto Blue Jays,Seattle Mariners,1 - 6
177,3,10/04/2024 14:10,Coors Field,Colorado Rockies,Arizona Diamondbacks,3 - 5
178,3,10/04/2024 14:45,Oracle Park,San Francisco Giants,Washington Nationals,7 - 1
179,3,10/04/2024 15:07,Angel Stadium,Los Angeles Angels,Tampa Bay Rays,2 - 4
180,3,10/04/2024 17:10,Progressive Field,Cleveland Guardians,Chicago White Sox,7 - 6
181,3,10/04/2024 17:40,Petco Park,San Diego Padres,Chicago Cubs,10 - 2
182,3,10/04/2024 17:40,Great American Ball Park,Cincinnati Reds,Milwaukee Brewers,2 - 7
183,3,10/04/2024 18:05,Yankee Stadium,New York Yankees,Miami Marlins,2 - 5
184,3,10/04/2024 18:10,Fenway Park,Boston Red Sox,Baltimore Orioles,5 - 7
186,3,10/04/2024 18:40,Kauffman Stadium,Kansas City Royals,Houston Astros,11 - 2
187,3,10/04/2024 19:05,Globe Life Field,Texas Rangers,Oakland Athletics,6 - 2
188,3,11/04/2024 11:20,Truist Park,Atlanta Braves,New York Mets,4 - 16
191,3,11/04/2024 13:10,Kauffman Stadium,Kansas City Royals,Houston Astros,13 - 3
192,3,11/04/2024 13:35,Globe Life Field,Texas Rangers,Oakland Athletics,0 - 1
193,3,11/04/2024 17:40,Citizens Bank Park,Philadelphia Phillies,Pittsburgh Pirates,5 - 1
194,3,11/04/2024 18:10,Fenway Park,Boston Red Sox,Baltimore Orioles,4 - 9
195,3,12/04/2024 17:40,Comerica Park,Detroit Tigers,Minnesota Twins,8 - 2
196,3,12/04/2024 17:40,Citizens Bank Park,Philadelphia Phillies,Pittsburgh Pirates,2 - 5
197,3,12/04/2024 17:50,Tropicana Field,Tampa Bay Rays,San Francisco Giants,2 - 1
198,3,12/04/2024 18:05,Oriole Park at Camden Yards,Baltimore Orioles,Milwaukee Brewers,1 - 11
199,3,12/04/2024 18:07,Rogers Centre,Toronto Blue Jays,Colorado Rockies,4 - 12
200,3,12/04/2024 18:10,Fenway Park,Boston Red Sox,Los Angeles Angels,0 - 7
201,3,12/04/2024 18:10,Citi Field,New York Mets,Kansas City Royals,6 - 1
202,3,12/04/2024 18:10,loanDepot park,Miami Marlins,Atlanta Braves,1 - 8
204,3,12/04/2024 18:40,Guaranteed Rate Field,Chicago White Sox,Cincinnati Reds,1 - 11
205,3,12/04/2024 19:10,Minute Maid Park,Houston Astros,Texas Rangers,8 - 12
206,3,12/04/2024 20:40,Oakland Coliseum,Oakland Athletics,Washington Nationals,2 - 1
207,3,12/04/2024 20:40,T-Mobile Park,Seattle Mariners,Chicago Cubs,4 - 2
208,3,12/04/2024 20:40,Chase Field,Arizona Diamondbacks,St. Louis Cardinals,6 - 9
209,3,12/04/2024 21:10,Dodger Stadium,Los Angeles Dodgers,San Diego Padres,7 - 8
203,3,13/04/2024 11:10,Progressive Field,Cleveland Guardians,New York Yankees,2 - 3
210,3,13/04/2024 12:10,Comerica Park,Detroit Tigers,Minnesota Twins,5 - 11
189,3,13/04/2024 12:15,Comerica Park,Detroit Tigers,Minnesota Twins,1 - 4
211,3,13/04/2024 12:40,Citi Field,New York Mets,Kansas City Royals,7 - 11
212,3,13/04/2024 13:10,Guaranteed Rate Field,Chicago White Sox,Cincinnati Reds,0 - 5
213,3,13/04/2024 14:07,Rogers Centre,Toronto Blue Jays,Colorado Rockies,5 - 3
214,3,13/04/2024 15:05,Minute Maid Park,Houston Astros,Texas Rangers,9 - 2
215,3,13/04/2024 15:05,Citizens Bank Park,Philadelphia Phillies,Pittsburgh Pirates,4 - 3
216,3,13/04/2024 15:05,Oriole Park at Camden Yards,Baltimore Orioles,Milwaukee Brewers,5 - 11
217,3,13/04/2024 15:07,Oakland Coliseum,Oakland Athletics,Washington Nationals,1 - 3
218,3,13/04/2024 15:10,Fenway Park,Boston Red Sox,Los Angeles Angels,7 - 2
219,3,13/04/2024 15:10,Tropicana Field,Tampa Bay Rays,San Francisco Giants,2 - 11
220,3,13/04/2024 15:10,loanDepot park,Miami Marlins,Atlanta Braves,5 - 1
221,3,13/04/2024 17:10,Progressive Field,Cleveland Guardians,New York Yankees,2 - 8
222,3,13/04/2024 19:10,Chase Field,Arizona Diamondbacks,St. Louis Cardinals,4 - 2
223,3,13/04/2024 20:10,Dodger Stadium,Los Angeles Dodgers,San Diego Padres,5 - 2
224,3,13/04/2024 20:40,T-Mobile Park,Seattle Mariners,Chicago Cubs,1 - 4
225,3,14/04/2024 12:35,Fenway Park,Boston Red Sox,Los Angeles Angels,5 - 4
226,3,14/04/2024 12:35,Citizens Bank Park,Philadelphia Phillies,Pittsburgh Pirates,2 - 9
227,3,14/04/2024 12:35,Oriole Park at Camden Yards,Baltimore Orioles,Milwaukee Brewers,6 - 4
228,3,14/04/2024 12:37,Rogers Centre,Toronto Blue Jays,Colorado Rockies,5 - 0
229,3,14/04/2024 12:40,Citi Field,New York Mets,Kansas City Royals,2 - 1
230,3,14/04/2024 12:40,Tropicana Field,Tampa Bay Rays,San Francisco Giants,9 - 4
231,3,14/04/2024 12:40,Comerica Park,Detroit Tigers,Minnesota Twins,4 - 3
232,3,14/04/2024 12:40,loanDepot park,Miami Marlins,Atlanta Braves,7 - 9
233,3,14/04/2024 12:40,Progressive Field,Cleveland Guardians,New York Yankees,8 - 7
234,3,14/04/2024 13:10,Minute Maid Park,Houston Astros,Texas Rangers,8 - 5
235,3,14/04/2024 13:10,Guaranteed Rate Field,Chicago White Sox,Cincinnati Reds,4 - 11
236,3,14/04/2024 15:07,Oakland Coliseum,Oakland Athletics,Washington Nationals,7 - 6
237,3,14/04/2024 15:10,T-Mobile Park,Seattle Mariners,Chicago Cubs,2 - 3
238,3,14/04/2024 15:10,Chase Field,Arizona Diamondbacks,St. Louis Cardinals,5 - 0
239,3,14/04/2024 18:10,Dodger Stadium,Los Angeles Dodgers,San Diego Padres,3 - 6
240,3,15/04/2024 10:10,Fenway Park,Boston Red Sox,Cleveland Guardians,0 - 6
241,3,15/04/2024 17:35,Oriole Park at Camden Yards,Baltimore Orioles,Minnesota Twins,7 - 4
242,3,15/04/2024 17:40,Comerica Park,Detroit Tigers,Texas Rangers,0 - 1
243,3,15/04/2024 17:40,Citizens Bank Park,Philadelphia Phillies,Colorado Rockies,2 - 1
244,3,15/04/2024 17:40,loanDepot park,Miami Marlins,San Francisco Giants,3 - 4
245,3,15/04/2024 17:50,Tropicana Field,Tampa Bay Rays,Los Angeles Angels,3 - 7
246,3,15/04/2024 18:07,Rogers Centre,Toronto Blue Jays,New York Yankees,3 - 1
247,3,15/04/2024 18:10,Citi Field,New York Mets,Pittsburgh Pirates,6 - 3
248,3,15/04/2024 18:40,Guaranteed Rate Field,Chicago White Sox,Kansas City Royals,0 - 2
249,3,15/04/2024 18:40,American Family Field,Milwaukee Brewers,San Diego Padres,3 - 7
250,3,15/04/2024 19:10,Minute Maid Park,Houston Astros,Atlanta Braves,1 - 6
251,3,15/04/2024 20:40,Chase Field,Arizona Diamondbacks,Chicago Cubs,2 - 3
252,3,15/04/2024 20:40,Oakland Coliseum,Oakland Athletics,St. Louis Cardinals,1 - 3
253,3,15/04/2024 20:42,T-Mobile Park,Seattle Mariners,Cincinnati Reds,9 - 3
254,3,15/04/2024 21:10,Dodger Stadium,Los Angeles Dodgers,Washington Nationals,4 - 6
255,3,16/04/2024 12:10,Comerica Park,Detroit Tigers,Texas Rangers,4 - 2
256,3,16/04/2024 17:35,Oriole Park at Camden Yards,Baltimore Orioles,Minnesota Twins,11 - 3
257,3,16/04/2024 17:40,Citizens Bank Park,Philadelphia Phillies,Colorado Rockies,5 - 0
258,3,16/04/2024 17:40,loanDepot park,Miami Marlins,San Francisco Giants,6 - 3
259,3,16/04/2024 17:50,Tropicana Field,Tampa Bay Rays,Los Angeles Angels,7 - 6
260,3,16/04/2024 18:07,Rogers Centre,Toronto Blue Jays,New York Yankees,5 - 4
261,3,16/04/2024 18:10,Fenway Park,Boston Red Sox,Cleveland Guardians,7 - 10
262,3,16/04/2024 18:10,Citi Field,New York Mets,Pittsburgh Pirates,3 - 1
264,3,16/04/2024 18:40,American Family Field,Milwaukee Brewers,San Diego Padres,3 - 6
265,3,16/04/2024 19:10,Minute Maid Park,Houston Astros,Atlanta Braves,2 - 6
266,3,16/04/2024 20:40,Chase Field,Arizona Diamondbacks,Chicago Cubs,12 - 11
267,3,16/04/2024 20:40,T-Mobile Park,Seattle Mariners,Cincinnati Reds,3 - 1
268,3,16/04/2024 20:40,Oakland Coliseum,Oakland Athletics,St. Louis Cardinals,2 - 3
269,3,16/04/2024 21:10,Dodger Stadium,Los Angeles Dodgers,Washington Nationals,6 - 2
270,4,17/04/2024 11:10,loanDepot park,Miami Marlins,San Francisco Giants,1 - 3
271,4,17/04/2024 12:05,Oriole Park at Camden Yards,Baltimore Orioles,Minnesota Twins,4 - 2
272,4,17/04/2024 12:10,Citi Field,New York Mets,Pittsburgh Pirates,9 - 1
273,4,17/04/2024 12:10,Comerica Park,Detroit Tigers,Texas Rangers,4 - 5
274,4,17/04/2024 12:10,American Family Field,Milwaukee Brewers,San Diego Padres,1 - 0
275,4,17/04/2024 13:10,Minute Maid Park,Houston Astros,Atlanta Braves,4 - 5
276,4,17/04/2024 13:10,Guaranteed Rate Field,Chicago White Sox,Kansas City Royals,2 - 4
263,4,17/04/2024 13:15,Guaranteed Rate Field,Chicago White Sox,Kansas City Royals,2 - 1
277,4,17/04/2024 14:07,Rogers Centre,Toronto Blue Jays,New York Yankees,4 - 6
278,4,17/04/2024 14:10,Dodger Stadium,Los Angeles Dodgers,Washington Nationals,0 - 2
279,4,17/04/2024 14:37,Oakland Coliseum,Oakland Athletics,St. Louis Cardinals,6 - 3
280,4,17/04/2024 14:40,Chase Field,Arizona Diamondbacks,Chicago Cubs,3 - 5
281,4,17/04/2024 15:10,T-Mobile Park,Seattle Mariners,Cincinnati Reds,5 - 1
282,4,17/04/2024 17:05,Citizens Bank Park,Philadelphia Phillies,Colorado Rockies,7 - 6
283,4,17/04/2024 17:50,Tropicana Field,Tampa Bay Rays,Los Angeles Angels,4 - 5
284,4,17/04/2024 18:10,Fenway Park,Boston Red Sox,Cleveland Guardians,2 - 0
285,4,18/04/2024 12:10,Tropicana Field,Tampa Bay Rays,Los Angeles Angels,2 - 1
286,4,18/04/2024 12:10,Comerica Park,Detroit Tigers,Texas Rangers,7 - 9
287,4,18/04/2024 12:35,Fenway Park,Boston Red Sox,Cleveland Guardians,4 - 5
289,4,18/04/2024 20:45,Oracle Park,San Francisco Giants,Arizona Diamondbacks,5 - 0
290,4,19/04/2024 13:20,Wrigley Field,Chicago Cubs,Miami Marlins,8 - 3
291,4,19/04/2024 17:40,Great American Ball Park,Cincinnati Reds,Los Angeles Angels,7 - 1
292,4,19/04/2024 17:40,PNC Park,Pittsburgh Pirates,Boston Red Sox,1 - 8
293,4,19/04/2024 17:40,Citizens Bank Park,Philadelphia Phillies,Chicago White Sox,7 - 0
294,4,19/04/2024 17:45,Nationals Park,Washington Nationals,Houston Astros,3 - 5
295,4,19/04/2024 18:05,Yankee Stadium,New York Yankees,Tampa Bay Rays,5 - 3
